,Username,comment,clean_comments,tags
0,Mulei Ule Msee,What will happen to kidero,What will happen to kidero,[]
1,Daniel David,If only God could hear my prayer then Magwanga should be Homabay Governor deputize by Wanga.,If only God could hear my prayer then Magwanga should be Homabay Governor deputize by Wanga,[]
2,Ngiroh Christopher Kipsang,Then you will hear him pointing fingers at Rutto and telling us how Raila Will win yet he cannot strategize his own winning.,Then you will hear him pointing fingers at Rutto and telling us how Raila Will win yet he cannot strategize his own winning,"[('and', 'POLITICIAN'), ('Raila', 'RAILA')]"
3,Humfred Kabasa Junior,"The so called ODM is doing more harm than good to the people of Homabay. We are still healing from the pathetic leadership of Awiti and now they are introducing another virus to Homabay county. To hell with ODM, you won't see my vote.",The so called ODM is doing more harm than good to the people of Homabay We are still healing from the pathetic leadership of Awiti and now they are introducing another virus to Homabay county To hell with ODM you wont see my vote,"[('ODM', 'POLITICAL_PARTY'), ('of', 'POLITICAL_PARTY'), ('of', 'POLITICAL_PARTY'), ('and', 'POLITICIAN'), ('ODM', 'POLITICAL_PARTY')]"
4,Den Nish,"Chinua Achebe says "" a goat is not left to suffer alone because of labour when there is an old man around"" ARROW OF GOD",Chinua Achebe says  a goat is not left to suffer alone because of labour when there is an old man around ARROW OF GOD,"[('of', 'POLITICAL_PARTY')]"
5,Philip Chianda Ja Nyamware,"Those that are belittling Wanga..that lady is a go getter...whatever she sets her eyes on she will use all the available resources and connection to get it..She is the next big thing in National politcs,Wanga will even be elected as the first woman to chair the council of governors should she clinch the HB seat...",Those that are belittling Wangathat lady is a go getterwhatever she sets her eyes on she will use all the available resources and connection to get itShe is the next big thing in National politcsWanga will even be elected as the first woman to chair the council of governors should she clinch the HB seat,"[('and', 'POLITICIAN'), ('National', 'POLITICAL_PARTY'), ('of', 'POLITICAL_PARTY')]"
6,Richard Njuguna,"You mean Mr chairman you can't make it to gubernatorial, and the way you used to defend your party on national televisions",You mean Mr chairman you cant make it to gubernatorial and the way you used to defend your party on national televisions,"[('and', 'POLITICAL_PARTY'), ('party', 'POLITICAL_PARTY')]"
7,Fred Okeke,"The decision and selection will be made in Karen , Homabayians have no say in this race , let's just vote and go home then wait for the appointment. Voting is a legal must process , let's just focus on president and MCAs elections, the rest of the seats Karen moguls  will take care of and u will do NOTHING about it am sorry.",The decision and selection will be made in Karen  Homabayians have no say in this race  lets just vote and go home then wait for the appointment Voting is a legal must process  lets just focus on president and MCAs elections the rest of the seats Karen moguls will take care of and u will do NOTHING about it am sorry,"[('and', 'POLITICIAN'), ('and', 'POLITICAL_PARTY'), ('for', 'POLITICAL_PARTY'), ('and', 'POLITICIAN'), ('of', 'POLITICAL_PARTY'), ('of', 'POLITICAL_PARTY'), ('and', 'POLITICAL_PARTY')]"
8,Vitz Cherui,Kidero might not be the popular candidate among the contestants but will clinch the seat due his heavy pockets and close association with Baba.,Kidero might not be the popular candidate among the contestants but will clinch the seat due his heavy pockets and close association with Baba,"[('and', 'POLITICAL_PARTY'), ('Baba', 'RAILA')]"
9,Omiti Otieno,"As homabain from Kasipul constituency, I'm going to mobiliz my boys to vote in William Ruto....... HON JOSEPH OYUGI MAGWANGA, has been betrayed by the orange party boss twice...... Because magwanga will not be on the ballot..... I'll not waste my time going to vote for Raila..... Let his puppet(Gladys Wanga) whom he value so much vote for him.... On behalf of 890k voters of homabay..... Very soon we are going to invite Dp William Ruto in Homabay...... Discuss way forward on how we are going to vote him in as homabay constituents",As homabain from Kasipul constituency Im going to mobiliz my boys to vote in William Ruto HON JOSEPH OYUGI MAGWANGA has been betrayed by the orange party boss twice Because magwanga will not be on the ballot Ill not waste my time going to vote for Raila Let his puppetGladys Wanga whom he value so much vote for him On behalf of k voters of homabay Very soon we are going to invite Dp William Ruto in Homabay Discuss way forward on how we are going to vote him in as homabay constituents,"[('William', 'RUTO'), ('Ruto', 'RUTO'), ('party', 'POLITICAL_PARTY'), ('for', 'POLITICAL_PARTY'), ('Raila', 'RAILA'), ('for', 'POLITICAL_PARTY'), ('of', 'POLITICAL_PARTY'), ('of', 'POLITICAL_PARTY'), ('William', 'RUTO'), ('Ruto', 'RUTO')]"
10,Crispin Nyakweba,"As a resident of Homabay Asumbi, we would rather have Oyugi Magwanga as the governor. However Odm is held captive, when l saw Sk with Genowa, l knew that is a direct ticket. Consider that with Mama l closeness with Wanga. It is done. ODM always messes up when the price is so close",As a resident of Homabay Asumbi we would rather have Oyugi Magwanga as the governor However Odm is held captive when l saw Sk with Genowa l knew that is a direct ticket Consider that with Mama l closeness with Wanga It is done ODM always messes up when the price is so close,"[('of', 'POLITICAL_PARTY'), ('ODM', 'POLITICAL_PARTY')]"
11,Nyakwar Jabunde,"This woman will never be homabay gavana, she WILL NEVER be whether she is given ticket by Odinga dictatorial movement",This woman will never be homabay gavana she WILL NEVER be whether she is given ticket by Odinga dictatorial movement,"[('Odinga', 'RAILA')]"
12,Victor Onyango,"Wanga is always leading on social media but as they say, kwa ground she is very unpopular with the voters",Wanga is always leading on social media but as they say kwa ground she is very unpopular with the voters,[]
13,Nick Ocham,I would be pleased to see the first female Luo Governor.,I would be pleased to see the first female Luo Governor,[]
14,Omiti Otieno,"That's the reason why I'll not participate in general election.... We've been denied opportunity to nominate governor of our choice...... It's either, I'll vote Ruto or abstain from voting, it will depend on my moodz",Thats the reason why Ill not participate in general election Weve been denied opportunity to nominate governor of our choice Its either Ill vote Ruto or abstain from voting it will depend on my moodz,"[('of', 'POLITICAL_PARTY'), ('Ruto', 'RUTO')]"
15,Aimo Alpha,"There are stronger candidates than Mbadi therefore what you're saying here holds no water. The likes of Kidero, Magwanga and Isaiah",There are stronger candidates than Mbadi therefore what youre saying here holds no water The likes of Kidero Magwanga and Isaiah,"[('Mbadi', 'POLITICIAN'), ('of', 'POLITICAL_PARTY'), ('and', 'POLITICIAN')]"
16,Adhudhu Leah,From a distance Mbadi saw him self loosing the race,From a distance Mbadi saw him self loosing the race,"[('Mbadi', 'POLITICIAN')]"
17,Don Owino Jr.,"James Orengo and Oburu Oginga should follow suit too. For the sake of peace, development & posterity.",James Orengo and Oburu Oginga should follow suit too For the sake of peace development  posterity,"[('James Orengo', 'POLITICIAN'), ('and', 'POLITICIAN'), ('of', 'POLITICAL_PARTY')]"
18,Oketch Samson,"Mbadi was going no where, same to wanga",Mbadi was going no where same to wanga,"[('Mbadi', 'POLITICIAN')]"
19,Ngare Romans,We are tired  with  Odingasm in Luo Nyanza. Raila we are going  to teach you a lesson  you will never forget,We are tired with Odingasm in Luo Nyanza Raila we are going to teach you a lesson you will never forget,"[('Raila', 'RAILA')]"
20,Julius Agiro,How is it a boost?We want a fair nominations!,How is it a boostWe want a fair nominations,[]
21,Kileshi Mondela,"If a whole chairman{cow} chickens out, whats about the ordinary supporters?   I guess they will run away lol",If a whole chairmancow chickens out whats about the ordinary supporters I guess they will run away lol,[]
22,Stephen Kibegwa,Wanga will take she has history of performance,Wanga will take she has history of performance,"[('of', 'POLITICAL_PARTY')]"
23,Cheruiyot Kenyalito Kosgey,He realised that he wasn't going get adirect ticket,He realised that he wasnt going get adirect ticket,[]
24,Jacob Odhiambo,This man Mbadi has no greed for power..it's not an easy thing to do since he dropped to support Mama..so Luo-hearted.,This man Mbadi has no greed for powerits not an easy thing to do since he dropped to support Mamaso Luohearted,"[('Mbadi', 'POLITICIAN'), ('for', 'POLITICAL_PARTY'), ('-', 'POLITICAL_PARTY')]"
25,Johnson Kimutai,"Mbadi knew he was going nowhere, even his village pipo couldn't have voted him",Mbadi knew he was going nowhere even his village pipo couldnt have voted him,"[('Mbadi', 'POLITICIAN')]"
26,Justin Onyancha,Kidero should seek the seat in Nairobi,Kidero should seek the seat in Nairobi,[]
27,Esy Lasty,"Mbadi's withdrawal is from their father,we know that.",Mbadis withdrawal is from their fatherwe know that,"[('Mbadi', 'POLITICIAN')]"
28,TJ Misinga,Wanga all the way the only threat we had was the ODM chair man Honorable John mbadi Ngongo Nyang but now we are very happy genowa the second,Wanga all the way the only threat we had was the ODM chair man Honorable John mbadi Ngongo Nyang but now we are very happy genowa the second,"[('ODM', 'POLITICAL_PARTY'), ('John', 'POLITICIAN')]"
29,Michael Ajush,The race is still stiff than even before mbadis fallout.,The race is still stiff than even before mbadis fallout,[]
30,Ogunah Elvis,Wanga would win with or without  Mbadi,Wanga would win with or without Mbadi,"[('Mbadi', 'POLITICIAN')]"
31,Peter Shisia,Negotiated democracy.......ni upuzi,Negotiated democracyni upuzi,[]
32,Jsunda Senior,Magwanga is in the race too,Magwanga is in the race too,[]
33,Marvin Omondi,"Kama unajua you are not a,voter in Homabay don't misslead the candidates on Social Media",Kama unajua you are not avoter in Homabay dont misslead the candidates on Social Media,[]
34,Simon Mucheke Waweru,"Mbadi did not drop his bid, he was ordered to withdraw.",Mbadi did not drop his bid he was ordered to withdraw,"[('Mbadi', 'POLITICIAN')]"
35,Robikip Robinson,Angenyoroshwa nyoronyoro. The woman's record is incomparable to that noisemaker's trackless record,Angenyoroshwa nyoronyoro The womans record is incomparable to that noisemakers trackless record,[]
36,Empress Dachez,Very good coz no one was going to elect him # genowa,Very good coz no one was going to elect him genowa,"[('one', 'UHURU')]"
37,Akumu Brian Akumu,Voter apathy loading. If Homabay County residents can't vote a leader of their choice to kare presidency no be obedi....,Voter apathy loading If Homabay County residents cant vote a leader of their choice to kare presidency no be obedi,"[('of', 'POLITICAL_PARTY')]"
38,Ojijo Collins,Mbadi was never a factor in the race. Hon Joseph O. Magwanga still stands to be the best and the most ideal candidate,Mbadi was never a factor in the race Hon Joseph O Magwanga still stands to be the best and the most ideal candidate,"[('Mbadi', 'POLITICIAN'), ('Joseph', 'POLITICIAN'), ('and', 'POLITICIAN')]"
39,Rummax Wuo Peninah,Gladys is the next homabay  governor.. kidero will second her.,Gladys is the next homabay governor kidero will second her,"[('Gladys', 'POLITICIAN')]"
40,Peter Kosgey Okeyo,Why is it a boost for Wanga only? I think have other contestants too!! Stop this confusion.,Why is it a boost for Wanga only I think have other contestants too Stop this confusion,"[('for', 'POLITICAL_PARTY')]"
41,Githinji Wa Kariuki,Kidero to the county to seat 🪑,Kidero to the county to seat,[]
42,Maurice,Magwanga all the way,Magwanga all the way,[]
43,Jacob Riendo,He feared humiliation from kidero,He feared humiliation from kidero,[]
44,Raymond Sang,She will not survive kideros slought,She will not survive kideros slought,[]
45,Viñcent Onyango,Party Politics,Party Politics,"[('Party', 'POLITICAL_PARTY')]"
46,Bonke Komwayi,Why Wanga but not other candidates?,Why Wanga but not other candidates,[]
47,Ogona Supremo,You only got to mention Gladys Wanga kwani is she the only aspirant 🤔?,You only got to mention Gladys Wanga kwani is she the only aspirant ,"[('Gladys', 'POLITICIAN')]"
48,Kevin Ouma,Are you sponsored by Wanga to post what you have said?,Are you sponsored by Wanga to post what you have said,[]
49,Sheltone Cheriot,She still have to beat Kidero for the ODM ticket,She still have to beat Kidero for the ODM ticket,"[('for', 'POLITICAL_PARTY'), ('ODM', 'POLITICAL_PARTY')]"
50,Clemo Kimathi,Hange win,Hange win,[]
51,Innocent Omboko,Not a boost for Kidero?,Not a boost for Kidero,"[('for', 'POLITICAL_PARTY')]"
52,Kevin Mitz,To the people of Homabay--VOTE WISELY,To the people of HomabayVOTE WISELY,"[('of', 'POLITICAL_PARTY')]"
53,Jmoh Ke,"Maybe the cert has been handed over already to one of the contestants, between Kidero and wanga.",Maybe the cert has been handed over already to one of the contestants between Kidero and wanga,"[('one', 'UHURU'), ('of', 'POLITICAL_PARTY'), ('and', 'POLITICAL_PARTY')]"
54,George Akong'o,"bado kuna wazee wengine huko siaya,,,,Orengo and Oburu Odinga,wanangoja nini,direct tickets are never a threat to us voters na c tafadhali",bado kuna wazee wengine huko siayaOrengo and Oburu Odingawanangoja ninidirect tickets are never a threat to us voters na c tafadhali,"[('and', 'POLITICAL_PARTY'), ('Odinga', 'RAILA')]"
55,Kiplangat Godwin Jemoget,Minister of finance in Baba's gov,Minister of finance in Babas gov,"[('of', 'POLITICAL_PARTY'), ('Baba', 'RAILA')]"
56,Masoud Juma,So amewaambia he dropped his bid in favour of wanga or what?,So amewaambia he dropped his bid in favour of wanga or what,"[('of', 'POLITICAL_PARTY')]"
57,Chepkorir Magda,"Hata wangeenda wote,  Wanga would still win.  Go go go mrembo.  Continue breaking the bias.",Hata wangeenda wote Wanga would still win Go go go mrembo Continue breaking the bias,[]
58,Joshua Aladho,Did he say he will support wanga?,Did he say he will support wanga,[]
59,Akinyi Nyangisa,I cry for my county 😭😭😭,I cry for my county,"[('for', 'POLITICAL_PARTY')]"
60,Carolina Phy,Girl power❤️🙏,Girl power,[]
61,Leslie Mungai,Wangoje wapangwe..ODM hakuna kitu kama nominations.Baba ndio hupanga team yetu!,Wangoje wapangweODM hakuna kitu kama nominationsBaba ndio hupanga team yetu,"[('ODM', 'POLITICAL_PARTY'), ('Baba', 'RAILA')]"
62,Calvins Ouma,No magwanga no election we are tired odinganism all be sleeping thoroughly.Homa bay,No magwanga no election we are tired odinganism all be sleeping thoroughlyHoma bay,[]
63,Javan Ochieng,Wanga #genowa,Wanga,[]
64,Fredrick Kimemia,"Hon Gladys Wanga, MP  is the best candidate so far !!",Hon Gladys Wanga MP is the best candidate so far ,"[('Gladys', 'POLITICIAN'), ('Wanga,', 'POLITICIAN')]"
65,James Barasa,Mama Gladys wanga tosha,Mama Gladys wanga tosha,"[('Gladys', 'POLITICIAN')]"
66,Abu Raia Mwema,But Raila will never be President..,But Raila will never be President,"[('Raila', 'RAILA')]"
67,Owak Owak,"Thapki hawezi,iyo ni Magwanga 10 Bora",Thapki haweziiyo ni Magwanga Bora,[]
68,Junior Korir,Odm cows wanapangwa hakuna nominations uko,Odm cows wanapangwa hakuna nominations uko,[]
69,Douglas Bahati,Why not boost to kidero?,Why not boost to kidero,[]
70,Min Kim,Genowa  Nyar kaneyaa,Genowa Nyar kaneyaa,[]
71,Linurse Ruto,Kumbe anakuanga na uwoga pia mrembo amtandike,Kumbe anakuanga na uwoga pia mrembo amtandike,[]
72,Shaddy Mghipuka,Mbadi alikua tu aanguke mapema,Mbadi alikua tu aanguke mapema,"[('Mbadi', 'POLITICIAN')]"
73,Teketeke Justin,Wanga ndani,Wanga ndani,[]
74,Ouko Ouko Dullo,Eti boost for who?,Eti boost for who,"[('for', 'POLITICAL_PARTY')]"
75,Wesley Monroe,Wanga the best  na ashawin,Wanga the best na ashawin,[]
76,Proff Rickie,Hii kiti ni ya mama 💪,Hii kiti ni ya mama,[]
77,Allan Lugivia,wanga asubui ako Kwa office ..uyu mama Ni mzuri kweli,wanga asubui ako Kwa office uyu mama Ni mzuri kweli,[]
78,Martin Ajowi,Oko nyal,Oko nyal,[]
79,Jonny Daktare,"Ati boost for wanga,kwani kidero sio mtu",Ati boost for wangakwani kidero sio mtu,"[('for', 'POLITICAL_PARTY')]"
80,Bishop Muge,"Muoga mdomo miiingi anaogopa wanawake Bure kabisa,pambana na mwanaume Ruto bsai nauvae mrinda",Muoga mdomo miiingi anaogopa wanawake Bure kabisapambana na mwanaume Ruto bsai nauvae mrinda,"[('Ruto', 'RUTO')]"
81,Walucho Erick,"Uoga tu huo,,,",Uoga tu huo,[]
82,Tosh Tosh,Ni fenye ground ni different.,Ni fenye ground ni different,[]
83,Cheruiyot Tooh,Ameogopa kidero,Ameogopa kidero,[]
84,Odeyo Oyando,Ground ni kumoto,Ground ni kumoto,[]
85,Carlpeters Maghuta Mbogo,Wanga should deputize Magwanga or Magwanga to deputize Wanga. My take,Wanga should deputize Magwanga or Magwanga to deputize Wanga My take,[]
86,David Omollo,Kamano,Kamano,[]
87,Omolo Junior,Ogwe nyalo kawe,Ogwe nyalo kawe,[]
88,Mutuerandu Mwirigi,Wanga is leading..you have accepted defeat 🤣🤣..then you are busy insulting Ruto.. mwanaume mzima..anaogopa mwanamke 🤣.. fhunda wewe,Wanga is leadingyou have accepted defeat then you are busy insulting Ruto mwanaume mzimaanaogopa mwanamke  fhunda wewe,"[('Ruto', 'RUTO')]"
89,Elegance Mtema Kuni,Pahali Kuna kidero sio rahisi,Pahali Kuna kidero sio rahisi,[]
90,Kizzilah Winnie Winnie,Genowa pod pek,Genowa pod pek,[]
91,Gesora Mogeni Mogeni,Hio nayo ni Kali....God knows next governor,Hio nayo ni KaliGod knows next governor,[]
92,Ronn R. Onyango,Jo Homa bay....be ulitna ndi...???,Jo Homa baybe ulitna ndi,[]
93,Collince Ngira,"Mama county tosha!!!  Hon Gladys Wanga, MP  kazi kwako",Mama county tosha Hon Gladys Wanga MP kazi kwako,"[('Gladys', 'POLITICIAN'), ('Wanga,', 'POLITICIAN')]"
94,Luvai Alex,Wanga,Wanga,[]
95,Desmond Obala,Na huyu Wanga anataka kufana the late Mapambano Mapambano..... 🙈,Na huyu Wanga anataka kufana the late Mapambano Mapambano,[]
96,Muyale Jomba,How,How,[]
97,Ng'ulet Kemei,"Now that ""we"" are hand-picking candidates, mrembo ya mdosi lazima apewe kitu",Now that we are handpicking candidates mrembo ya mdosi lazima apewe kitu,"[('-', 'POLITICAL_PARTY')]"
98,Jeremiah O. Gwaro,Kidero tosha,Kidero tosha,[]
99,Jaringa,Kidero nyaka debe!,Kidero nyaka debe,[]
100,Genarali Javan Leaky,Kidero will slap her  We ngoja 😂😂,Kidero will slap her We ngoja,[]
101,Katherine Nyalwal,kuna fununu eti ground ina sema Magwanga😉,kuna fununu eti ground ina sema Magwanga,[]
102,Stephen Otieno,Genowa ❤️,Genowa,[]
103,Azimio La Umoja,Wanga will win,Wanga will win,[]
104,Andrew Lewa,I would trust millie Odhiambo than this thing called wanga who hv swindled women in the same county,I would trust millie Odhiambo than this thing called wanga who hv swindled women in the same county,"[('Odhiambo', 'POLITICIAN')]"
105,George Otieno,Good gesture bu they just seek office just to steal public funds. Obado did zero and Wanga too will do zero. If our counties were serious kisumu would have been in a different league. ODM ni shida tu,Good gesture bu they just seek office just to steal public funds Obado did zero and Wanga too will do zero If our counties were serious kisumu would have been in a different league ODM ni shida tu,"[('and', 'POLITICAL_PARTY'), ('ODM', 'POLITICAL_PARTY')]"
106,Wa Cũcũ,"Mbadi is a wise man, he knows without vomiting money up to 50m his hands will remain down while others are raised up kama walikuwa Kwa boxing competition 🇰🇪🇰🇪😏😏.",Mbadi is a wise man he knows without vomiting money up to m his hands will remain down while others are raised up kama walikuwa Kwa boxing competition ,"[('Mbadi', 'POLITICIAN')]"
107,Nereah Odera,Why Wanga when Kidero is also breathing 🔥?,Why Wanga when Kidero is also breathing ,[]
108,Baraza Zachariah,Thank you mbadi.... Masaa ni ya mama,Thank you mbadi Masaa ni ya mama,[]
109,Virginiah Wanjiku,Ni baba imesema,Ni baba imesema,[]
110,Kinyanjui Wa Kimani,Fighting against their fellow thief😂🤣,Fighting against their fellow thief,[]
111,Joyce Nyulia,#GENOWA,,[]
112,Jenzi Hamad,#Genowa,,[]
113,Nyamus Ochola Jamigori,Nyamus Ochola Jamigori,Nyamus Ochola Jamigori,[]
114,Gilly Bett,"If you are not on babus list of preference, the voters don't matter. You must bootlick babu to get to his wish list. Wanga has outwitted her chair and all the rest.",If you are not on babus list of preference the voters dont matter You must bootlick babu to get to his wish list Wanga has outwitted her chair and all the rest,"[('of', 'POLITICAL_PARTY'), ('and', 'POLITICAL_PARTY')]"
115,Simon Otieno,How is it a boost?? It is high time you media stop this white elephant  headings.,How is it a boost It is high time you media stop this white elephant headings,[]
116,Laban Onacha,Boost for wat...b it Wanga or Mbadi ...this are all Railas cows no impact,Boost for watb it Wanga or Mbadi this are all Railas cows no impact,"[('for', 'POLITICAL_PARTY'), ('Mbadi', 'POLITICIAN')]"
117,Faith Wafula,Sense of early defeat,Sense of early defeat,"[('of', 'POLITICAL_PARTY')]"
118,Erick Sahin,Hapa sasa ni kidero na wanga,Hapa sasa ni kidero na wanga,[]
119,Kalast Born Mdogo,Wanga will win,Wanga will win,[]
120,Rioba Abdul,Homabay county matters,Homabay county matters,[]
121,Evlyne Auma,"Kidero will win,I think.",Kidero will winI think,[]
122,Jacob Nabwala,Kidero must fall Ka MSC,Kidero must fall Ka MSC,[]
123,Adicky Odero,Wanga rating in % against kidero ; 50% n kidero 30 % . the remaining 20 is shared btw Magwanga n Isayah Ogwe .,Wanga rating in  against kidero   n kidero   the remaining is shared btw Magwanga n Isayah Ogwe ,[]
124,Akinyi Owino,Kidero should be next.,Kidero should be next,[]
125,Job Onserio,go go go mother,go go go mother,[]
126,Job Onserio,go go go mother,go go go mother,[]
127,Davy Ba Ashly,Wanga is de best bet,Wanga is de best bet,[]
128,Kennedy Mbori,Gov,Gov,[]
129,Evans Onda,Homa Bay is for Evans,Homa Bay is for Evans,"[('for', 'POLITICAL_PARTY')]"
130,Kimaru Symoh,Kidero got deep pockets,Kidero got deep pockets,[]
131,Elkana Odhiambo Ouma,Orengo and oburu shoukd follow  mbadi,Orengo and oburu shoukd follow mbadi,"[('Orengo', 'POLITICIAN'), ('and', 'POLITICAL_PARTY')]"
0,George Waweru,"'Your Time Is Up, Exit And Go Do Something Else!' Martha Karua Tells President Kenyatta",Your Time Is Up Exit And Go Do Something Else Martha Karua Tells President Kenyatta,"[('Martha', 'POLITICIAN'), ('Kenyatta', 'UHURU')]"
1,Ngigi Joseh Ngigi,The royal media journalist's must BOW to their masters,The royal media journalists must BOW to their masters,[]
2,Fabian Miroro,I agree,I agree,[]
3,Beracah Valley,It is a propaganda that can't sell,It is a propaganda that cant sell,[]
4,Emmanuel Cheruyiot,Truth bd told,Truth bd told,[]
5,William Omusonga,He spoke what his boss SK would like to hear. Biased!!!!!!!,He spoke what his boss SK would like to hear Biased,[]
6,David Tonny,Sympathy,Sympathy,[]
7,Peter Kipkirui,It's true,Its true,[]
8,Abedi Sango Sango,✔️,,[]
9,Emmanuel Otieno,Where is the lie,Where is the lie,[]
10,Festus Tesot,We know about ROYAL MEDIA stand..Once again he a project.... wait Kenyans will reject him.,We know about ROYAL MEDIA standOnce again he a project wait Kenyans will reject him,[]
11,Elly Sankara Jnr,Simple as it says😁🔥,Simple as it says,[]
12,Omondi LeBon,Where is the lie in the statement?? Is only a fool who can call or believe Raila a project.,Where is the lie in the statement Is only a fool who can call or believe Raila a project,"[('Raila', 'RAILA')]"
13,Enyati Ya Nyabitunwa,Ww ukiangalia vizuri ni nani project,Ww ukiangalia vizuri ni nani project,[]
14,Caltex Davis Rono,"Says Citizen TV producer,",Says Citizen TV producer,[]
15,Isabellah Sakin,True kabisa,True kabisa,[]
16,KE Quipyegon DunQan,Totally agree,Totally agree,[]
17,Yusuff Ingalia,Hauoni??? Hata kuskiii,Hauoni Hata kuskiii,[]
18,Masson Murgor,U will find difficult because of your dwarf reasoning,U will find difficult because of your dwarf reasoning,"[('of', 'POLITICAL_PARTY')]"
19,Wil Mj,"That's very true, a project comes from nowhere like now mudavadi can be a good project but this man baba, no, follow me WillyMj-5",Thats very true a project comes from nowhere like now mudavadi can be a good project but this man baba no follow me WillyMj,[]
20,Jacinta Mbugua,Jacinta Mbugua,Jacinta Mbugua,[]
21,Kevin Dola,"The narrative that Raila is a project can't, in fact Kenya is railas project",The narrative that Raila is a project cant in fact Kenya is railas project,"[('Raila', 'RAILA'), ('Kenya', 'POLITICAL_PARTY')]"
22,William Nganga,This time is a projects,This time is a projects,[]
23,AbdulRahman Juma,AN ENIGMA....BABA RUOTH NYASAYE OMEDI NDALO MANGENY MONDO JO WASIKI ONE GWETH MA IN GODO .,AN ENIGMABABA RUOTH NYASAYE OMEDI NDALO MANGENY MONDO JO WASIKI ONE GWETH MA IN GODO ,[]
24,Caleb Ondieki,Where is the lie?,Where is the lie,[]
25,Ricardo Mellie,If that's your argument..then u know nothing about politics....,If thats your argumentthen u know nothing about politics,[]
26,Ndumi Kenya,Volume,Volume,[]
27,Ally B Ally,"Currently he is the project of the state, even a kindergarten kid will tell you so",Currently he is the project of the state even a kindergarten kid will tell you so,"[('of', 'POLITICAL_PARTY')]"
28,Richard Njenga,Well put,Well put,[]
29,Mustaafu Mcee UncleSam,What else do we expect from a Macharia cow journelist,What else do we expect from a Macharia cow journelist,"[('Macharia', 'POLITICIAN')]"
30,Phillifos Kristoforos,What do  you expect from Citizen/Raila Tv?...,What do you expect from CitizenRaila Tv,"[('Raila', 'RAILA')]"
