Username,comment
George Waweru,"'Your Time Is Up, Exit And Go Do Something Else!' Martha Karua Tells President Kenyatta"
Ngigi Joseh Ngigi,The royal media journalist's must BOW to their masters
Fabian Miroro,I agree
Beracah Valley,It is a propaganda that can't sell
Emmanuel Cheruyiot,Truth bd told
William Omusonga,He spoke what his boss SK would like to hear. Biased!!!!!!!
David Tonny,Sympathy
Peter Kipkirui,It's true
Abedi Sango Sango,✔️
Emmanuel Otieno,Where is the lie
Festus Tesot,We know about ROYAL MEDIA stand..Once again he a project.... wait Kenyans will reject him.
Elly Sankara Jnr,Simple as it says😁🔥
Omondi LeBon,Where is the lie in the statement?? Is only a fool who can call or believe Raila a project.
Enyati Ya Nyabitunwa,Ww ukiangalia vizuri ni nani project
Caltex Davis Rono,"Says Citizen TV producer,"
Isabellah Sakin,True kabisa
KE Quipyegon DunQan,Totally agree
Yusuff Ingalia,Hauoni??? Hata kuskiii
Masson Murgor,U will find difficult because of your dwarf reasoning
Wil Mj,"That's very true, a project comes from nowhere like now mudavadi can be a good project but this man baba, no, follow me WillyMj-5"
Jacinta Mbugua,Jacinta Mbugua
Kevin Dola,"The narrative that Raila is a project can't, in fact Kenya is railas project"
William Nganga,This time is a projects
AbdulRahman Juma,AN ENIGMA....BABA RUOTH NYASAYE OMEDI NDALO MANGENY MONDO JO WASIKI ONE GWETH MA IN GODO .
Caleb Ondieki,Where is the lie?
Ricardo Mellie,If that's your argument..then u know nothing about politics....
Ndumi Kenya,Volume
Ally B Ally,"Currently he is the project of the state, even a kindergarten kid will tell you so"
Richard Njenga,Well put
Mustaafu Mcee UncleSam,What else do we expect from a Macharia cow journelist
Phillifos Kristoforos,What do  you expect from Citizen/Raila Tv?...
Captain Dominic Omondi,Video: PM Raila Odinga says The Technology that helped Rosemary Odinga regain eyesight will be in Kenya. https://youtu.be/KQ5YxgDC-v0
Biko Nelson,Hujakosea bana
Sarah Sam,According to him.let him secure his job.his employer was watching.
Mutali K. Davis,A reason why I don't watch that thing called News Gang
Kaguma Kagema,Word !
AkinyiMum Nyoboch Nyargiyawuoi,Kindly stick to media and journalism... politics gwachana nayoo kabisaaa...
Evans Kimtai Langat,Silly reasoning!
Noela,Judas should also be a monument for betraying Jesus of Nazareth.
Cliff Maranga,"Whe he fails as his own project,  he tries as a state project to see if he can succeed,  the fact that you have failed over 5 times makes it even more possible for you to be a project."
Leonard Kimanthi,He wasn't but now sure he is .....
Mwantime Faith,Exactly but we're used to matusi
Delvin Nyamwaro,True
David Davie Davids,Monument
Juan Bastante,Kaikai he is Always team raila since BBI started so it's a continuation of foolishness I'm not surprised.
Linet Anthony,Well said
Martin Lutha,Wewe kubali Uhuru anatumia mzee mbaya ni ukweli wa mambo
Kulundu Mkufunzi Wao,Bt not this time
Peter Wainaina,Right now he's the chief project of the current government!! Kwani tumekua vipofu hatuoni?
Wycliffe Mudi,A monument is being misused ama 😊
Bolton Kipruto Cheluget,Political caricature😂😂😂😂
Anne Tush Anny,Naked truth.. only legends can understand better 😌✨
Victor Njogu Shenki,Linus kaikai we know you're azimio brand ambassador
Hadassa Njenga,"Huyu anakuanga bias always,,I watched that show n he doesn't at one time knw how to b neutral as a journalist, atleast wengine Kwa hiyo gang wanajaribu"
Wandera Waff,Veeery true...
Nyakundi Omurwa,Perfectly said
Violet Otieno,Well Said
Kawili Mike Snr Intellectual,Brain at work
Vincent Chesire,"It's not only kaikai,citizen as all is in raila,so hiyo haitutishi kama uda"
Julius Kibet,monumental project
Jasmyne Jebet,That's true ...
Kelly Son,True
Samuel Njuki,Seems someone is on payroll again....
Francis Olango,Very true
Sam Luvai Luvinzu,Chunga unga nani Family bado changa baba asije akaimwaga.
Evanz Kipkemoi,"It's a surprise, it's coming from Citizen tv...."
Rojaz Kathoka,Your body language has always been that you support him. Even the blind and insane can see and understand that the Mzee has the blessing of the state.
Adan Mohamed,"be a journalist or a politician, dnt dirtyfy our screens in the name of journalism."
Kios Vinny,It doesn't matter how many times a person has unsuccessfully ran for presidency! If he is a project then he is a project!
Abdallah Shikuku Okumu,"I would advise Raila when he gets to power dictate people throughout,punish them,kill some, these poor Kenyans have lost respect that you suffered for to bring them to liberty"
Ephah Mwax,Tommorow SK atakua ame kufuta kazi nani
Bosco Joseph,Sanitizer
Francis Okumu,"Sometimes back I used to admire your journalism, but nowadays, some young upcoming are better than you by for, You have become a sycophant."
Dodos Kipya,Any programme in Citizen T.v. is meant to promote a project called Raila!
Mc Beryl,Woow
Ruth Lucero,Linus I silute you 👏
Ole Polos,Now see how UDAku will come up in arms to Kaikai yet it's true.
Eunice Wanjiru,yangu kumi ya ruto kumi was also a project
Chumo Tosh,"Unasema hivo ndo u-please sk macharia,io royal media bure kabisa. Biased media"
Michael Murithi,Kaikai himself is a project of skm
Oscar Malcomx KE,Raila is people's project not government project.Take this to your nearest bank!
Kiongozi Mathai Arap Manene,Citizen tv
Catherine Muléi,That is where you get your daily bread you must fake it as much as possible 🙂
Elvis Cheruiyot Arap Mursi,We were expecting that from u.. Kazi ingeisha
Dylan Setek,"Even the unborn, especially those who were conceived just this past valentine's February 14th & their mothers are now 4 days pregnant,,,, know that Raila is a Project by the state..."
John Mwirigi Muya,So what
Danson Blessed Njoroge,"Stupid ass licking journalism. Y'all should be leaning on no one side, but since mliamua kulamba lamba hao watu, si muwalambe bas. Ngware Ici."
Daniel Kithinji,Lazima uongee ivo usipoteze kazi citizen.u r a slave wa macharia.bure kabisa
Macharia Evans,Journalist from Raila odinga TV 🙄
Duke Oseko,2.7m monthly salary
Briener Karioki,it's not a surprise ... you are a Citizen tv anchor ... join politics n see how pple grade you uache kuongeleanga kwa hema ...
Henricz Kiprow Bowre,Monument tena?
Peter K Gitau,"Statue and monument, what's the difference ?"
Dews Kim,We can call this guy handsome without brains
Martin Mwangi,Partiality is the order of the day at RMs. Who doesn't know that. Safeguard your job Kaikai.
Muyuyi Richard Ferdinand,What do you expect from a servant out to appease the master
Eric Ngugi,Facts are stubborn
John Wambua,Really???
Olivia Adhiambo,Monumental project
Dan Analyst,Hapo Linus umechoma jos
Tina Omondi,Raila can NEVER be a project of someone. Please stop it
Patrick Tonui,Raila is a state project
Ken Mkenya,"Ofcourse he has been running for the last 27yrs and i voted him twice, nonetheless.... He's now a project with a man who want to remain in power as a PM and continue running the country like his underpants. Nonsense."
Kauma Jim,"That is a stupid statement, just because he has run many times does not mean he is not a projevt this time. There is need for kenyans to apply their brains effectively."
Allan Julius Rotich,"@linus lazima uimbe wimbo ya SKM otherwise unga itaisha,"
Peter Kioko Mutua,Githeri media
Cindy Cindy,That's not news You've been on his side long So what's new coz monument and Raila in one sentence boss
Fidel Omosh,Perennial Loser now a state project  Project must n Be rejected and retired for good....
Ron Owdiseez,Pscycophancic thinking I usually don't like your views on citizen news gang you are very biasd
Davin Onduko,Kaikai amejipaka fair n lovely na lip gloss waah nimeenda
Stanli Mureas,The only way to safeguard your job.
Dennoh Bett,Monument 🤔🙄so that's y voters has been observing him in the ballot & leaving him for other contestants 🥴🥴🥴🥴
Dian Mamake Sherryl,Siasa ni propaganda 😂😂Wachia watu wa yuda wapate cha kuongelea since nowadays hawana agenda
Levince Onyango,Raila is people's project
Pius Mbindyo,"Weeeeeeee, Raila is a true project. If not so, let that one who is supporting him withdraw his support from him"
Castro Malick Del Vincente,It's said be good to me and I'll be good you or scratch my back and I'll do the same to you. Hope you understand now.
Nick Opapa,The 5th
Francis Kipsang,"This time he quacks like a project, walks like a project, talks like a project, associate with those who wants him protect their interest. I dare say this time round he looks like a project and thus  a state project"
Karimi Njiru,We know you very well!
Tiffany-keshy Wangeci,Absolutely. Some sober insights there
Njoro Baxon,ile siku ulianza kuji filter ndio ulianza umama.. ..
Ck Sammy,Who is Linus' employer?
Luoi Bundi Tony,Mediocre media
Jogoo La Kj,Before he wasn't but now he is a project
Silas Kip Lagat,..iconic /experienced project.
Joseph Njagi,Raila is people's project.he has been winning all the three consecutive elections
Prince Jojo,Mr make up scoud
Nicholas Mutai,Junga unga my friend unaexpect aje ukue against your boss Ck macharia mwenyewe is trespassing all over the country compaighing for Raila utapata aje nguvu kua against him
Nyaito Ezekiel,"All UDA supporters you want to tell us that Raila is a project just because you don't like him,how dare you imagine that Raila is a project when Raila has won twice but denied the victory!"
Anne Wamaitha,Wacha usikiwe na sk utaenda home!!
Wanderi Kimani,True
Okinyo Nyagweso,Correct 💯
Salome Slettum,Ravi Kibet 🤣🤣🤣🤣
Peter Matunda Onyiego,Linus Kaikai from Raila Media Services (RMS)
Sylvester Oj,"Well put Kaikai, Tinga is a monument than a project."
Jeff Ray,Before I agree but know he is a project we see everyone sees
Kipruto Tallam,That time when you exhibit all signs of selective amnesia but try to overstretch objectivity....🤣🤣🤣🤣
