Username,comment
Emmanuel Wesang'ula,We should  not be talking  about impeachment  without  talking  about  treason  that Raila Committed  after 2017 election.  Raila wanted to overthrow  the Jubilee  government  yet he hasn't  come out  and apologise to Kenyans. Infact  Uhuru should  be talking  on this.
Kiprono Kirui,"The most stupid and annoying thing is that the same people who elected Uhuruto three times are the same people who are shouting loudest about failures of Jubilee government. But even more bizarre is that the same group are the ones who are pushing for Ruto’s election after 10 years of failure of Uhuruto. Please give other Kenyans a chance to also choose a president, the country does not belong to only two communities who for 62 years have contributed to the country’s failures."
Sammie Mutharimi,"Ruto is a politician who can tell lies in broad daylight without blinking, he can say something and he changes it the next minute to bring confusion successfully, ruto is a power-hungry man who can use any means to clinch it"
Steve Mbugua,Of course he is the one...we all saw him taking un oath in uhurupark 1982 he was the organizer of a coup that wanted to overthrow the late president moi..he is a power hungry man who will do anything to clinch into power.
RONOH,Deputy President William Ruto has promised to convert the Higher Educations Loans Board (Helb) from a loan to a grant if he wins the presidency in the August elections.
Trojans War,Why would Raila impeach the president and  he knows very well that it is Ruto who is going to take over. Ruto knows too well that his followers are so numb that they will accept anything he says.
Nickson Ekume,Good reason why i should vote him lot of wisdom in him. This is now leadership you dont engage yourself in any talk in the market even if they try to drag you in just try your level best to avoid and mind your own business thats show level of maturity. Im very sure Raila is fully aware what happened but he is the kind of person who knows how to zip. After Ruto was caught pants down he decided to drag Baba's name in to settle the score but baba has escaped the drag net
Jossy Gatho,Uhurus puppet has disowned him..those cheap politics Uhuru is trying to do will cost him dearly.. HE DR WILLIAM RUTO will be the fifth president of Kenya who will by Gods grace will get a historical win..
Moindi Mi Gi Raw,"Well if Ruto was aware about Raila's plot to impeach UHURU,why didn't he divulge that vital information? What stopped him from telling the President?"
Wanjau Jesse,"The president told the elders that it's Raila who saved him from being impeached. I don't know why the president is acting this desparate. If he is so desparate because he loves this country, then he should not have allowed people to suffer the way they have suffered. Clearly there is a hidden agenda which we must resist."
Mutisya Kalundu,We heard Raila loud and clear. Don’t alter his words. He was very clear than no one ever attempted to impeach Uhuru
Ayanga Peter,This is how intelligence works. I know my friens from that corrupt movement were expecting Baba to negatively mention Ruto's name. Raila is very wise and intelligent.
Francis Makokha,"Of course, it has nothing to do with RAO, the most convenient scapegoat in Kenya's political landscape for years. Let Ruto now explain who it was. There appears to be something much deeper than a mere impeachment, that's why some people are squirming in their seats and scratching their heads seeking a scapegoat. Before the elections, an earthquake of a revelation shall emerge and be confirmed. Sorry, the intelligence around the President doesn't sleep. That's what kept Moi in power for all the years and every regime for that matter."
Justin Kipkoech,I was not aware of any impeachment attempts on Uhuru therefore will not comment on it. Let Ruto carry his own cross —Raila Odinga  Own goal 🤣😂😂😅😅  #2022election #KenyaKwanza #kenyantrends
Edward I. Gachogu,"When Raila was in opposition,  it was actually his duty to keep the gvt of the day on its toes, including threatening to impeach the president; so that wud not be news at all.  But it's known, even b4 Uhuru pronounced it, that Ruto was trying to combine Jubilee MPs who were loyal to him, with those of Raila , to impeach the president, after 2017 reelection. That's evident from the Karen breakfast visits b4 every cabinet meetings called by the President."
Siss Patty,You two ought to face each other and finish your endless blames. We even don't know which ones are real versus lies. You can do better politics other than blaming each other
Charles Geytosh,It's better we could have elected raila than uhuru. It's only we never knew his tomorrow
Fredrick Aginga,Emmanuel let me remind that RAILA is very wise politician....he swore in as  PEOPLES president !!!! Note that. So don't talk about TREASON....unless u don't know it's meaning
Kairu Zack Wakairu,Raila is just reminding Mugathe to pull up his weight and deliver Mt Kenya as he promised..time is of essence
Papah Dickson Babuu,"Uhuru: Ruto wanted to work with Raila to impeach me,but Raila declined. Raila:I don't of any attempts or claims of overthrowing the jubilee govt."
Alex Baraza,Follow news daily guys you will come to terms that NTV is just okay.....Ruto denied those claims made by uhuru and instead accused Odinga of being the orchestrater of the same...so Odinga is denying accusations made by dp linking him to to it
Oscar Carzola Gunner,"If Uhuru wud av been impeached, who wud av benefited if not Ruto himself🤔 so he shud not deceive us that it was Raila yet we Kno Ruto was even the one behind,  ""we shall revisit statement"" since he was the mastermind of the presidents tough headedness after election"
Kibii Bartoo Alfred,I weep when highly respected media turns to propaganda!
Divinah Jason,When will be ta voting  date..aki I'm fade up following  Kenyan politics.
Dennis Tonui,"Pres.Uhuru noted the rising fame of Ruto when the honeymoon was still hot.Ruto planned and executed several successful projects.Fearing for his deteriorating fame, the President decided to join hands with Rudderless Odinga to maintain his royal status.Given opportunity, Ruto can create a self-reliant country free from debts."
Bob Rono,Interesting. They want to rely on hearsay that someone was plotting to impeach him but they don't want to mention the one who swore himself in with an aim of overthrowing him! I reckon Kenyans with improved education have surpassed this crap.
Favoured Chris,He will even deny that he voted against him 4times.....We know he even tried to overthrow the legitimate government of President Uhuru by swearing himself in
Steve Muriithi,"Whoever who could have impeached him, would have done a very commendable job. Surely, surely, why didn't it succeed??"
Frank Ke,The other day uhuru called a meeting with mount kenya leaders only to realise 6 of them were to attend that meeting in statehouse. This statement had already spread in public domain and everybody was aware about that meet. The following day uhuru annouced that there was no meeting he had plan. This man there is something bothering him he is not himself he needs an emergency check up pliz🙏
Tiberius N Mogendi,"I don't know which side I'm up to now. But one thing I know, when I will make a decision. I will, can, shall never vote for Raila. Come rain come sunshine. 🙄😳"
LIlian Otieno,"So, it's true Uliam wanted to impeach his boss?"
Jane Wambui,"Even me I was not aware.But about, Ruto being impeached, everyone was aware"
Sammy Shikuku,Hw cld Raila benefit by impeaching the president yet th dp cld automatically bcm th prezo? Th dp ws bhind th impeachment psyco
Charles Muriuki,The question is if uhuru was impeached who would have benefited?
Karis Ka Njugush,"Raila said he wasn't aware of any plans..But we were told the other day, Ruto was reaching out to Raila to help impeach Uhuru...😅"
Ck Sammy,"According to ntv, it's Ruto's who claims.. Resist."
Boaz Ngetich,Was it a crime to impeach him?
Samuel Simel,Uhuru Kenyatta said Ruto approach Raila odinga with the intention of getting enough numbers to impeach him. Dp Ruto Denied the allegations terming them propaganda and desperation from Mr Uhuru Kenyatta. Today Raila odinga retariate what the Dp said that there was never such scheme. Sasa nyinyi NTV Kenya who's naked btwn the three??? Stop this useless reporting
Cheruyot Shadrac,You cannot be Against the ANOINTED WSR..... YOU WILL BITE YOUR OWN TONGUE
Yaccine Juan,"#NTV your headline is totally different, correct it wacha uongo, Raila, Am not aware of impeachment attempts to uhuru,"
Brian Cheruu,You're twisting his statement 😂
Dennis Kerario,"God's work,,,, RUTO is the 5th."
Kimutai Isaiah,"Raila is now changing tactics to prove uhuru's, false wrath against Ruto's popularity"
Yeye Mwenyewe,How old was Putin wen all these wanted to happene😂😂😂😂
Stanley Munene,Uhuru must be taking something unusual.
Mbage Kuria John,Ruto didn't say that mganga wanted to stage a coupe but stated the fact that he participated in the 1982 coupe and attempted to swear himself as the president in 2017. Stop twisting what's in the open
Paul Githaka,"Let these people tell us clearly what they disagreed upon and stop beating about the bush ,and most likely money and now one is feeling shy to hit the nail on the head"
Mai Cousin,He said it's Raila who saved him from the plotted impeachment by Ruto.   Raila the saviour nae anasema he is not aware ....... 🙆🏼‍♀️ Imagine hiyo aibu yote ?? From the head of state to the head Furofaganda 🙆🏼‍♀️🙆🏼‍♀️ from the symbol of unity to symbol of division !! Sad Maliza ukwende!!!
SE BA,"So the question is;! If the president could have been impeached, who could have benefited??  Raila said Ruto should carry his own cross!✍️😅"
Joseph Kanai,"You are now exposing all eval deeds that raila was planing,shortchanging to Mr ruto.stop misleading kenyans"
Tiberius N Mogendi,What about his act of treason?
Giff Ka,Why ask yet we know it was Raila? To date miguna is in wilderness due to that.
Kate Mugo,He meant when you were sworn in by miguna miguna
Ndoria Ngari Ndoria,"It was Uhuru's claim, wacheni kugeuza story.  You are so biased."
George Gosho,How was Odinga to benefit if Ruto himself branded Raila all manner of dirt ahead of 217 elections?
Robert Koech,"By swearing in himself, he had a plan to overthrow Uhuru's Government!"
Te Nyi,"Ruto can do anything. He must be the one.  He must have done it and it backfired.  UHURU si MJINGA kuongea vitu vyenye si ukweli.  Hata mwizi akishikwa, huwa anakana.  Sooooo.  Livondo Spoke like a Man.  Why are you forgetting this things?  UHURU is Not insane. He is speaking the Truth.  Ukweli unauma. He thought, haitajulikana. Ambitious man"
Kiprotich Lenny Lineaus,Indeed Uhuru says he was Raila who inform him  its how again. Uhuru surely what did you say
Innocent Havertz Imonje,Between raila and ruto. Whoever takes the seat they will one day work together. Na watu wa Mt Kenya mjipange
Betty Su,Raila has forgotten about self proclaimed people's president  in 2017 n that why our brother is in canada
Julius Fedha,Between Raila and Ruto who unconstitutionally sweared him as the president of the republic of kenya? commonly referred to as peoples president?
Kidole Gumba,Ruto sometimes misplaces his anger from uhuru to Raila that's a desperate sign
Hillary Bii,Raila denied claims by uhuru .....
Ritchie Man Onge'sa,Bottoms up is thinking silly.... Raila to impeach Uhuru then Mr six months to take over!!  Any sense?? NONSENSE....
Dickson Oloo,How would Raila gain if the impeachment succeedes
Angel Bizb,"Uhunye was confused....who is who....Raila or Ruto. since handshake, hajielewi."
Nuu Chemagar,"This station will be reduced to a village video, by Dp or uhuru"
Brown Mahfonz,Ruto now playing childish politics
Tiberius N Mogendi,So were you expecting Rao to accept it? Raila Amollo Odinga. 😂😂
Langat Anthony,That is a very wrong reporting
Wyclef Gift,"Ok Lets Assume its True Ruto Knew Raila Wanted To Impeach Uhuru,Why Didnt He Alert His Boss  And By Extension Himself From Being A Target??🤔🤔"
Martin N. Wakibe,How could Raila impeach president?? How ?? Sugoi thief love taking sane people intelligence for granted
Mwangi Wa Mbau,"Raila Odinga has a history of trying to overthrow a legitimate government. So, impeaching Uhuru was not a big deal to him."
Victor Blessed,Uhuru says Raila and Ruto wants to impeach him
Napode Xavier,"Impeachment what does that mean to hunger striken Samburu's to unemployed youths, this game does not favour hustler this time round, campaigning day by day does not change anything."
Mutua Waimiri,raila has started to prepare 2023 handshake
Fredrick Aginga,Ruto won't change anything in Kenya....open your third eyes
Kelvin Omondi,Raila cannot plan small things like that..he planns big things like Overthrowing the govt
Sospeter Williams,This is how you begin twisting facts.
Bethy Owino,It's too late bwana ruto
Olwasi Denis,Raila denies being aware of any impeachment
Biurraqque Dee,Who among them swore himself as a president when there was a sitting government?   Comb me please
Haron Owon Poret,God can use even your enemies to bring out the truth......aki Baba this was for your own good but umechoma🤣🤣🤣🤣
Gladys Mutunga,One wonders how many more lies have been told about Ruto.
Habbakuk Njung'wa,"Uhuru speaks , Raila loses a vote"
Warren Serem,"Stop this nonsense NTV Kenya, do you know you can report truly and still be relevant? What uhuru said is far from what you are reporting here 🙄"
